number,value,datetime_start,datetime_complete,duration,params_PENALTY_STAGNATION,params_REWARD_DISTANCE_COEFF,params_REWARD_SURVIVAL,params_ent_coef,params_lr,state
40,0.0,2026-02-05 02:25:32.514734,2026-02-05 02:25:32.546541,0 days 00:00:00.031807,-1.2676859957076207,7.196265995996331e-06,0.502581405605546,5.252255185260491e-05,2.7967178009383528e-05,COMPLETE
41,0.0,2026-02-05 02:25:32.549560,2026-02-05 02:25:32.582108,0 days 00:00:00.032548,-1.5427201293442665,6.326552461245989e-05,0.15522177110339308,0.0004143934644207909,4.000694885485757e-05,COMPLETE
42,0.0,2026-02-05 02:25:32.585170,2026-02-05 02:25:32.616274,0 days 00:00:00.031104,-1.7928528430315585,8.532625032753541e-05,0.27974980066727406,0.00011727334739105051,2.1699838102731723e-05,COMPLETE
43,0.0,2026-02-05 02:25:32.619271,2026-02-05 02:25:32.650112,0 days 00:00:00.030841,-1.1153044335285405,7.038004477634855e-05,0.4084038010934651,0.0002809770834010514,5.981762740331819e-05,COMPLETE
44,0.0,2026-02-05 02:25:32.653034,2026-02-05 02:25:32.684281,0 days 00:00:00.031247,-0.1804737069454092,8.20034083721824e-05,0.5307004485123081,0.00018443045963363245,1.142991079828319e-05,COMPLETE
45,0.0,2026-02-05 02:25:32.687054,2026-02-05 02:25:32.718194,0 days 00:00:00.031140,-1.4384666079433468,5.684713541738231e-05,0.47132745355220074,9.202866179557652e-05,3.0305906797114142e-05,COMPLETE
46,0.0,2026-02-05 02:25:32.721036,2026-02-05 02:25:32.752430,0 days 00:00:00.031394,-0.7885260094414568,9.114018034924813e-05,0.34074824603497805,0.0003183356680065366,0.00016596995348665717,COMPLETE
47,0.0,2026-02-05 02:25:32.755215,2026-02-05 02:25:32.785894,0 days 00:00:00.030679,-0.9654903424703981,2.1623427353800987e-05,0.014425743649146283,8.102861352323344e-05,1.5371531825022418e-05,COMPLETE
48,0.0,2026-02-05 02:25:32.788494,2026-02-05 02:25:32.819376,0 days 00:00:00.030882,-1.6064018723288631,3.1213913344576484e-05,0.777322300517681,5.995154287803624e-05,2.402019831286214e-05,COMPLETE
49,0.0,2026-02-05 02:25:32.822410,2026-02-05 02:25:32.852838,0 days 00:00:00.030428,-1.252346809239236,7.500087194840671e-05,0.7156600839440941,0.00022248015069189128,1.0190960712729936e-05,COMPLETE
50,0.0,2026-02-05 02:25:32.855735,2026-02-05 02:25:32.886548,0 days 00:00:00.030813,-0.34937626990875315,4.3983507512362074e-05,0.8768684287068004,0.0008219668257769056,1.9302319487132926e-05,COMPLETE
51,0.0,2026-02-05 02:25:32.889369,2026-02-05 02:25:32.919997,0 days 00:00:00.030628,-1.3765921539736523,3.81258653019513e-05,0.2023823844644053,0.0008533393631298794,0.00012778023775923434,COMPLETE
52,0.0,2026-02-05 02:25:32.922859,2026-02-05 02:25:32.953353,0 days 00:00:00.030494,-1.167876571972987,4.739663400022007e-05,0.28153399898215703,0.000994721244179404,8.181808895067576e-05,COMPLETE
53,0.0,2026-02-05 02:25:32.956340,2026-02-05 02:25:32.987459,0 days 00:00:00.031119,-1.4918045515915128,1.6748402190264074e-05,0.13131105535356793,0.0005994077293485247,0.0002882907485922511,COMPLETE
54,0.0,2026-02-05 02:25:32.990118,2026-02-05 02:25:33.020650,0 days 00:00:00.030532,-1.0257844584263234,8.820023030198725e-06,0.6467459553983207,0.00041908102808006217,1.3578954777068398e-05,COMPLETE
55,0.0,2026-02-05 02:25:33.023536,2026-02-05 02:25:33.054062,0 days 00:00:00.030526,-1.7449202352568483,2.6959143090443354e-05,0.22713017413522835,0.0006266256243667189,0.0001113411152910293,COMPLETE
56,0.0,2026-02-05 02:25:33.057073,2026-02-05 02:25:33.088177,0 days 00:00:00.031104,-1.2894815387596537,3.3395614317932144e-05,0.8166131149829924,0.00011023957656865016,1.6642623862664597e-05,COMPLETE
57,0.0,2026-02-05 02:25:33.091023,2026-02-05 02:25:33.121536,0 days 00:00:00.030513,-1.9150071106211537,6.099578324152647e-05,0.592261021902543,0.0008558426461804036,3.144521117465358e-05,COMPLETE
58,0.0,2026-02-05 02:25:33.124208,2026-02-05 02:25:33.154116,0 days 00:00:00.029908,-0.5590117379206658,4.127326552621939e-05,0.8526173530518784,0.0005021837722689323,0.00021739614369936333,COMPLETE
59,0.0,2026-02-05 02:25:33.157101,2026-02-05 02:25:33.187787,0 days 00:00:00.030686,-1.5265875583190025,1.8631460653224914e-05,0.36805657802788855,0.0002506611485715952,1.8640017335676976e-05,COMPLETE
60,0.0,2026-02-05 02:25:33.190673,2026-02-05 02:25:33.221334,0 days 00:00:00.030661,-1.6353616389199583,5.288455994624056e-05,0.3186819077495942,6.590068669067423e-05,3.591139180106184e-05,COMPLETE
61,0.0,2026-02-05 02:25:33.224107,2026-02-05 02:25:33.258089,0 days 00:00:00.033982,-0.8487960949703894,9.207931092179045e-05,0.17384509607654902,0.0006637974230525468,0.00025951562672116974,COMPLETE
62,0.0,2026-02-05 02:25:33.261137,2026-02-05 02:25:33.295117,0 days 00:00:00.033980,-0.7172302751689218,1.1222676711483647e-05,0.23563575764862107,0.0009192725293102408,0.00014024812086961829,COMPLETE
63,0.0,2026-02-05 02:25:33.298353,2026-02-05 02:25:33.332835,0 days 00:00:00.034482,-0.6395921659951298,4.380861206281458e-06,0.088875006938713,0.0007501373304043969,0.0002104764464279898,COMPLETE
