number,value,datetime_start,datetime_complete,duration,params_PENALTY_STAGNATION,params_REWARD_SURVIVAL,params_ent_coef,params_lr,state
25,118.58000000000001,2026-02-06 00:51:41.448621,2026-02-06 00:53:13.936065,0 days 00:01:32.487444,-1.996019468345369,2.3001771379452727,0.0005252900697169187,1.900901887036213e-05,COMPLETE
26,100.42,2026-02-06 00:53:13.939018,2026-02-06 00:54:46.167750,0 days 00:01:32.228732,-1.7272560542477922,3.43428273497064,0.0027584261457910004,7.45516639465812e-05,COMPLETE
27,114.5,2026-02-06 00:54:46.170665,2026-02-06 00:56:19.024032,0 days 00:01:32.853367,-1.1278962680111033,0.32398129668476283,2.0049112040233865e-05,0.00014114441618092466,COMPLETE
28,129.82,2026-02-06 00:56:19.027424,2026-02-06 00:57:51.795609,0 days 00:01:32.768185,-1.4632584402758677,3.0582132027071287,0.00143147511220087,0.0002437777414249081,COMPLETE
29,110.3,2026-02-06 00:57:51.798540,2026-02-06 00:59:24.419852,0 days 00:01:32.621312,-0.990627326805233,4.876134703529529,3.970937638890769e-05,0.00026291831342753925,COMPLETE
30,124.02000000000001,2026-02-06 00:59:24.423294,2026-02-06 01:00:56.468521,0 days 00:01:32.045227,-1.4852392470828946,2.800042602135624,0.0012863087528168842,0.00045384979685831597,COMPLETE
31,126.04,2026-02-06 01:00:56.471856,2026-02-06 01:02:35.848926,0 days 00:01:39.377070,-1.488932538101568,2.739239046365686,0.0007004899299568474,0.0004260668407911836,COMPLETE
32,105.78,2026-02-06 01:02:35.851964,2026-02-06 01:04:08.865300,0 days 00:01:33.013336,-1.5919625616619826,3.031906279484346,0.0007006502985796476,0.00023030683518532734,COMPLETE
33,108.88,2026-02-06 01:04:08.868942,2026-02-06 01:05:40.797546,0 days 00:01:31.928604,-1.37296765548022,3.668233106011983,0.0002715697989853366,0.000375335210887837,COMPLETE
34,143.5,2026-02-06 01:05:40.801178,2026-02-06 01:07:12.826474,0 days 00:01:32.025296,-1.687335004832327,4.482972138576428,0.00016325977982679745,0.0007446464232232789,COMPLETE
35,98.49999999999999,2026-02-06 01:07:12.830122,2026-02-06 01:08:44.863867,0 days 00:01:32.033745,-1.6630074579981917,4.55413231541792,0.000189292047667966,0.000610877611227901,COMPLETE
36,114.13999999999999,2026-02-06 01:08:44.867325,2026-02-06 01:10:17.443196,0 days 00:01:32.575871,-1.8234524613281626,4.949138132947987,5.6065782672592616e-05,0.0009320825278243284,COMPLETE
37,117.62,2026-02-06 01:10:17.446091,2026-02-06 01:11:49.705096,0 days 00:01:32.259005,-1.6625852973988267,4.192784176899093,0.00013232515708147546,0.00011609539582431429,COMPLETE
38,110.24000000000001,2026-02-06 01:11:49.708475,2026-02-06 01:13:22.408461,0 days 00:01:32.699986,-0.8273431241326785,4.666197897570781,0.00142165504138854,0.0006913126071799438,COMPLETE
39,136.62,2026-02-06 01:13:22.411885,2026-02-06 01:14:54.716140,0 days 00:01:32.304255,-0.016572257217850495,3.964185401338397,0.000419447853014796,0.00015396947184458153,COMPLETE
40,94.72,2026-02-06 01:14:54.719618,2026-02-06 01:16:27.112338,0 days 00:01:32.392720,-1.187971392853294,3.986525335083347,0.000452116335477836,0.00014853018009974655,COMPLETE
41,111.46,2026-02-06 01:16:27.115832,2026-02-06 01:18:02.290546,0 days 00:01:35.174714,-0.012441727100650616,3.6275168470635557,0.00015761985477855215,0.00022567308786116492,COMPLETE
42,118.46,2026-02-06 01:18:02.293827,2026-02-06 01:19:37.904092,0 days 00:01:35.610265,-0.2855380146253802,3.2961126994894627,7.52107503835407e-05,0.00015733847838950073,COMPLETE
43,105.88,2026-02-06 01:19:37.907340,2026-02-06 01:21:12.952495,0 days 00:01:35.045155,-0.5076500640666818,4.431235570813854,0.00034533087317821363,0.00011173709944379672,COMPLETE
44,123.56000000000002,2026-02-06 01:21:12.955767,2026-02-06 01:22:47.840579,0 days 00:01:34.884812,-0.18706185505891212,3.9180425353912414,0.0009671762125690309,0.0003167354604597733,COMPLETE
45,120.6,2026-02-06 01:22:47.843817,2026-02-06 01:24:23.379837,0 days 00:01:35.536020,-0.002940878139768177,4.184073853268333,0.006380239388582735,0.0002369566166897218,COMPLETE
46,96.52000000000001,2026-02-06 01:24:23.383100,2026-02-06 01:25:58.945850,0 days 00:01:35.562750,-0.6068891079554781,3.522356286140965,0.0030076453578035903,7.989742413610907e-05,COMPLETE
47,113.3,2026-02-06 01:25:58.949152,2026-02-06 01:27:34.851103,0 days 00:01:35.901951,-0.38751075771702886,4.7369460344234025,0.000680741153802959,0.000369114656768938,COMPLETE
48,123.41999999999999,2026-02-06 01:27:34.854362,2026-02-06 01:29:12.096752,0 days 00:01:37.242390,-0.26401943746839274,4.249154101031559,0.0004186995527368765,0.00017288666813348538,COMPLETE
49,119.35999999999999,2026-02-06 01:29:12.099992,2026-02-06 01:30:45.545952,0 days 00:01:33.445960,-1.8936348352842804,3.2344718232805154,0.0019001664701275931,6.04652456896364e-05,COMPLETE
50,120.5,2026-02-06 07:41:37.315659,2026-02-06 07:43:12.698838,0 days 00:01:35.383179,-0.8774930039807944,3.8254042482298107,9.925817909805817e-05,0.0005595563048874221,COMPLETE
51,113.24000000000001,2026-02-06 07:43:12.703999,2026-02-06 07:44:41.274388,0 days 00:01:28.570389,-1.5769706495920983,2.671235269815287,0.0007814115808445596,0.0008887259039200019,COMPLETE
52,111.75999999999999,2026-02-06 07:44:41.277706,2026-02-06 07:46:09.577067,0 days 00:01:28.299361,-1.726347276693597,2.980696671396344,0.0002772493361945152,0.000423103529091508,COMPLETE
