number,value,datetime_start,datetime_complete,duration,params_PENALTY_STAGNATION,params_REWARD_DISTANCE_COEFF,params_REWARD_SURVIVAL,params_ent_coef,params_lr,state
39,134.3,2026-02-03 01:28:52.036209,2026-02-03 01:31:17.297218,0 days 00:02:25.261009,-0.5172604703102588,0.1942501460369488,0.4441332146270146,7.493750663971733e-05,3.3975035593807096e-05,COMPLETE
40,159.0,2026-02-03 01:31:17.300350,2026-02-03 01:33:49.634245,0 days 00:02:32.333895,-0.9505952432860101,0.11688477846366888,0.1853503600595623,0.0008469186776449162,5.4105622033228885e-05,COMPLETE
41,148.45,2026-02-03 01:33:49.637392,2026-02-03 01:36:16.512250,0 days 00:02:26.874858,-0.38464135250696607,0.13370133981216034,0.37273471756689913,0.0001377306757993492,2.426301349286246e-05,COMPLETE
42,130.8,2026-02-03 01:36:16.515464,2026-02-03 01:38:45.126951,0 days 00:02:28.611487,-0.530056548864069,0.125363735193638,0.29874800671541574,0.0005723460016154649,8.989590586976653e-05,COMPLETE
43,120.45,2026-02-03 01:38:45.131174,2026-02-03 01:41:11.793652,0 days 00:02:26.662478,-0.4812603915547572,0.12217355040489254,0.26510849867013453,0.0005017001894788779,7.416758136808911e-05,COMPLETE
44,132.55,2026-02-03 01:41:11.796660,2026-02-03 01:43:38.083758,0 days 00:02:26.287098,-0.611379305443705,0.14621634810330486,0.3391759093351896,0.0006251844094083886,0.00015897391197984402,COMPLETE
45,99.6,2026-02-03 01:43:38.087000,2026-02-03 01:46:04.888679,0 days 00:02:26.801679,-0.3301676037766326,0.13236744029977768,0.35734395650014544,0.0004322563814103682,7.278392200273522e-05,COMPLETE
46,127.15,2026-02-03 01:46:04.892161,2026-02-03 01:48:31.394594,0 days 00:02:26.502433,-0.41962295849895453,0.11049655883561117,0.3845567419131085,0.00026114790896758234,0.0002816583095064707,COMPLETE
47,194.45,2026-02-03 01:48:31.397614,2026-02-03 01:50:58.025209,0 days 00:02:26.627595,-0.11846973928516624,0.15985190660825255,0.4716676151054661,0.00037304470130126554,9.884346923858008e-05,COMPLETE
48,124.15,2026-02-03 01:50:58.028739,2026-02-03 01:53:25.483534,0 days 00:02:27.454795,-0.20299268831047604,0.16012156607554653,0.4789937806615523,0.0003580483023414609,0.0001179425321072181,COMPLETE
