number,value,datetime_start,datetime_complete,duration,params_PENALTY_STAGNATION,params_REWARD_DISTANCE_COEFF,params_REWARD_SURVIVAL,params_ent_coef,params_lr,state
32,125.80000000000001,2026-02-04 23:03:52.863350,2026-02-04 23:06:21.272760,0 days 00:02:28.409410,-0.15450499708120902,0.1482996688106354,0.10995001292902692,0.00018524942371898865,4.385278922782964e-05,COMPLETE
33,114.30000000000001,2026-02-04 23:06:21.276100,2026-02-04 23:08:45.901752,0 days 00:02:24.625652,-0.08169729636588582,0.15872963320633982,0.20821053827962466,0.00012652338744223554,0.0001709866982307718,COMPLETE
34,123.55,2026-02-04 23:08:45.905006,2026-02-04 23:11:02.258502,0 days 00:02:16.353496,-0.19679143143555086,0.09643779475772454,0.14383715813954545,7.409363891680658e-05,0.0002488755347622592,COMPLETE
35,109.45,2026-02-04 23:11:02.261587,2026-02-04 23:13:15.397138,0 days 00:02:13.135551,-0.2955594013445811,0.10102097922657462,0.004540754690486995,9.317413532475613e-05,7.549225470085142e-05,COMPLETE
36,166.45,2026-02-04 23:13:15.400211,2026-02-04 23:15:28.473976,0 days 00:02:13.073765,-0.16032504927623628,0.12331094121501739,0.23905587016596763,0.00016508014128207638,4.500052480648519e-05,COMPLETE
37,157.95,2026-02-04 23:15:28.476975,2026-02-04 23:17:50.097119,0 days 00:02:21.620144,-0.1483863142768295,0.12647271418548137,0.23325996947715483,0.0001588209474862273,2.0958012472807795e-05,COMPLETE
38,144.1,2026-02-04 23:17:50.100111,2026-02-04 23:20:04.399457,0 days 00:02:14.299346,-0.08211379717122698,0.1349450520855819,0.2528487083149506,0.000248968053169025,4.482052649934402e-05,COMPLETE
39,107.85,2026-02-04 23:20:04.402472,2026-02-04 23:22:16.702478,0 days 00:02:12.300006,-0.5107055491667635,0.17346291097276015,0.16517329470065428,0.00010517765068026282,3.0242317279147524e-05,COMPLETE
40,91.5,2026-02-04 23:22:16.705541,2026-02-04 23:24:30.407997,0 days 00:02:13.702456,-0.9978930227717577,0.08943912149464942,0.11179311474876263,0.00015156363746255004,8.243661579741639e-05,COMPLETE
41,144.95,2026-02-04 23:24:30.411184,2026-02-04 23:26:43.512370,0 days 00:02:13.101186,-0.16835024956979644,0.11544649662808368,0.23360734965119634,0.00020840562382212915,5.272063426119545e-05,COMPLETE
42,119.55,2026-02-04 23:26:43.515324,2026-02-04 23:28:57.278280,0 days 00:02:13.762956,-0.14032384903107642,0.13117884843433772,0.23267386561275819,0.00015261731565775614,1.6882201381078732e-05,COMPLETE
43,119.65,2026-02-04 23:28:57.281280,2026-02-04 23:31:09.928451,0 days 00:02:12.647171,-0.04270656174155407,0.13231311545993105,0.301128485879312,0.0001745605645173486,2.2613834005835406e-05,COMPLETE
