vis,base_reward,est_dist_bonus,total_reward,min_dist
0,-0,0.00354589,-0.00339158,0.212753
0,-0,0.00354588,-0.00339158,0.212753
0,-0,0.00354588,-0.00339158,0.212753
0,-0,0.00354587,-0.00339158,0.212752
0,-0,0.00354587,-0.00339158,0.212752
0,-0,0.00354586,-0.00339158,0.212752
0,-0,0.00354586,-0.00339158,0.212752
0,-0,0.00354585,-0.00339158,0.212751
0,-0,0.00354585,-0.00339158,0.212751
0,-0,0.00354584,-0.00339158,0.212751
0,-0,0.00354584,-0.00339158,0.21275
0,-0,0.00354583,-0.00339158,0.21275
0,-0,0.00354583,-0.00339158,0.21275
0,-0,0.00354582,-0.00339158,0.212749
0,-0,0.00354582,-0.00339158,0.212749
0,-0,0.00354581,-0.00339201,0.212749
0,-0,0.00354581,-0.00339226,0.212749
0,-1.09527,0.0035458,-1.09741,0.212748
0,-1.09423,0.00353504,-1.09519,0.212102
0,-1.09301,0.00350573,-1.09492,0.210344
0,-1.09166,0.00346003,-1.09483,0.207602
0,-1.08999,0.00340077,-1.09616,0.204046
0,-1.08801,0.00333138,-1.09906,0.199883
0,-1.08585,0.00325587,-1.10374,0.195352
0,-1.08345,0.0031789,-1.11022,0.190734
0,-1.08085,0.00310569,-1.11924,0.186341
0,-1.07807,0.00304199,-1.13216,0.182519
0,-1.07514,0.00299394,-1.05552,0.179637
0,-1.07207,0.00296778,-1.05245,0.178067
0,-1.06998,0.0029694,-1.05882,0.178164
0,-1.06811,0.00289402,-1.0571,0.173641
0,-1.06647,0.00282176,-1.05965,0.169306
0,-1.06509,0.0027674,-1.06143,0.166044
1,-0,0,0.000954979,0.163469
1,-0,0,-0.0141465,0.161544
1,-0,0,-0.0139899,0.160117
1,-0,0,-0.0137279,0.159104
1,1,0,0.98664,0.158403
1,1,0,1.02278,0.157954
1,1,0,1.02312,0.157692
1,1,0,1.02385,0.157587
1,1,0,1.02472,0.157626
1,1,0,1.02567,0.157752
1,1,0,1.02663,0.157983
1,1,0,1.02748,0.158282
1,-0,0,-0.00545293,0.158664
1,-0,0,-0.00436306,0.159071
1,-0,0,-0.00306754,0.159528
1,-0,0,-0.00195948,0.160029
1,-0,0,-0.000786278,0.160522
1,-0,0,0.000465058,0.161024
1,-0,0,0.00166979,0.1615
1,-0,0,0.00282366,0.161991
1,-0,0,0.00402449,0.162453
1,-0,0,0.00522068,0.162906
1,-0,0,0.00641162,0.163303
1,-0,0,0.00761238,0.163678
1,-0,0,0.00882076,0.164015
1,-0,0,0.010054,0.164318
1,-0,0,0.0111974,0.164584
1,-0,0,0.0123747,0.164811
1,-0,0,0.013565,0.164992
0,-1.06114,0.00275262,-1.0642,0.165157
0,-1.06105,0.00275482,-1.06416,0.165289
0,-1.06096,0.00275645,-1.06411,0.165387
0,-1.06087,0.00275777,-1.06405,0.165466
0,-1.06078,0.00275878,-1.06398,0.165527
0,-1.06068,0.00275954,-1.06386,0.165572
0,-1.06058,0.00275992,-1.06381,0.165595
0,-1.06048,0.00276005,-1.06373,0.165603
0,-1.06039,0.0027603,-1.06365,0.165618
0,-1.06029,0.00276043,-1.06355,0.165626
0,-1.0602,0.00276046,-1.06342,0.165628
0,-1.06012,0.00276041,-1.06335,0.165625
0,-1.06004,0.00276024,-1.06327,0.165615
0,-1.05996,0.00276032,-1.06321,0.165619
0,-1.05989,0.00276041,-1.06315,0.165624
0,-1.05982,0.00276052,-1.06306,0.165631
0,-1.05976,0.00276066,-1.06295,0.16564
0,-1.0597,0.00276081,-1.06293,0.165648
0,-1.05964,0.0027609,-1.06287,0.165654
0,-1.05959,0.00276129,-1.06282,0.165677
0,-1.05954,0.00276172,-1.06276,0.165703
0,-1.0595,0.00276218,-1.06267,0.165731
0,-1.05945,0.00276264,-1.06266,0.165758
0,-1.05942,0.00276304,-1.06262,0.165783
1,-0,0,-0.00320688,0.165823
1,-0,0,0.0307083,0.165865
1,-0,0,0.0304993,0.165913
1,-0,0,0.0301584,0.165953
1,-0,0,0.0298223,0.165999
1,-0,0,0.0294572,0.166063
1,-0,0,0.0290456,0.166111
1,-0,0,0.0266807,0.16619
1,-0,0,0.0237944,0.166254
1,-0,0,0.022044,0.166335
1,-0,0,0.0209826,0.166425
1,-0,0,0.0202364,0.166514
1,-0,0,0.0196309,0.166607
1,-0,0,0.0190778,0.166708
1,-0,0,0.0185371,0.166816
1,-0,0,0.0179918,0.166932
1,-0,0,0.0174991,0.167053
1,-0,0,0.0168938,0.167167
1,-0,0,0.016331,0.167278
1,-0,0,0.0157634,0.167404
1,-0,0,0.0151945,0.167525
1,-0,0,0.0146137,0.167611
1,-0,0,0.0140289,0.167716
1,-0,0,0.0134379,0.167814
1,-0,0,0.0128439,0.167871
1,-0,0,0.0122051,0.167951
1,-0,0,0.0115045,0.167989
0,-1.06142,0.00280052,-1.06461,0.168031
0,-1.06201,0.00280111,-1.06522,0.168066
0,-1.06264,0.00280143,-1.06587,0.168086
0,-1.06332,0.00280189,-1.06656,0.168113
0,-1.06403,0.00280196,-1.06719,0.168118
0,-1.06478,0.00280167,-1.06798,0.1681
0,-1.06557,0.00280111,-1.06876,0.168066
0,-1.06641,0.00280058,-1.06959,0.168035
0,-1.06729,0.00279986,-1.07045,0.167992
0,-1.06821,0.00279924,-1.07137,0.167954
0,-1.06917,0.00279834,-1.07232,0.1679
0,-1.07017,0.00279732,-1.07332,0.167839
0,-1.07122,0.00279611,-1.07437,0.167767
0,-1.07232,0.00279483,-1.07547,0.16769
0,-1.07346,0.00279397,-1.07661,0.167638
0,-1.07465,0.00279268,-1.07782,0.167561
0,-1.07589,0.00279171,-1.07905,0.167503
0,-1.07717,0.00279055,-1.08035,0.167433
0,-1.0785,0.00278974,-1.08168,0.167384
0,-1.07987,0.00278866,-1.08307,0.16732
0,-1.0813,0.0027881,-1.08451,0.167286
0,-1.08276,0.00278754,-1.08597,0.167252
0,-1.08428,0.00278685,-1.08751,0.167211
0,-1.08584,0.00278665,-1.08909,0.167199
