number,value,datetime_start,datetime_complete,duration,params_ENT_COEF,params_LEARNING_RATE,params_PENALTY_STAGNATION_FORCE,params_REWARD_DISTANCE_DIFF_SCALE,params_REWARD_SURVIVAL_SCALE,state
171,117.78,19:37.0,20:59.5,0 days 00:01:22.442016,1.70E-05,0.000531522,-1.948196193,5.25009975,15.11447721,COMPLETE
172,97.54,20:59.5,22:20.2,0 days 00:01:20.729170,1.00E-05,0.000579016,-1.700433664,5.660488907,19.61956299,COMPLETE
173,160.14,22:20.2,23:39.1,0 days 00:01:18.894957,2.02E-05,0.000881674,-1.720652897,5.001365149,13.09042609,COMPLETE
174,129.76,23:39.1,24:59.1,0 days 00:01:20.042555,2.14E-05,0.000932817,-1.711003845,5.519186092,14.03503896,COMPLETE
175,154.48,24:59.2,26:19.1,0 days 00:01:19.971644,1.98E-05,0.000686033,-1.618853398,5.092364752,12.04711186,COMPLETE
176,109.58,26:19.1,27:39.0,0 days 00:01:19.912238,2.45E-05,0.000705144,-1.629487879,5.158149817,12.45633243,COMPLETE
177,129.38,27:39.0,28:59.1,0 days 00:01:20.085352,1.93E-05,0.000600855,-1.589981168,4.935671005,13.635285,COMPLETE
178,136.9,28:59.1,30:19.2,0 days 00:01:20.079402,2.87E-05,0.000539632,-1.729931511,5.016576296,12.12302734,COMPLETE
179,125.62,30:19.2,31:38.9,0 days 00:01:19.716418,1.59E-05,0.000659276,-1.880919521,4.690201283,14.51390951,COMPLETE
180,145.58,31:38.9,33:01.9,0 days 00:01:22.926554,0.000551177,0.000632285,-1.809296644,5.39333323,12.87991024,COMPLETE
181,99.46,33:01.9,34:22.5,0 days 00:01:20.625633,0.001017668,0.000622448,-1.824028352,5.301498152,12.83349224,COMPLETE
182,125.94,34:22.5,35:41.9,0 days 00:01:19.429088,0.001347284,0.000559108,-1.656808611,5.444401092,11.46996999,COMPLETE
183,151.04,35:41.9,37:03.8,0 days 00:01:21.856391,1.89E-05,0.000698046,-1.744888905,5.735127687,13.50561273,COMPLETE
184,133.58,37:03.8,38:24.2,0 days 00:01:20.384503,0.000664611,0.000742018,-1.735925725,5.827411463,13.41976233,COMPLETE
185,149.18,38:24.2,39:44.2,0 days 00:01:20.019385,0.000512954,0.000686444,-1.826184207,2.100051326,14.40087906,COMPLETE
186,150.34,39:44.2,41:05.5,0 days 00:01:21.304889,2.07E-05,0.000686121,-1.980326346,2.201877345,15.0508231,COMPLETE
187,134.72,41:05.5,42:29.6,0 days 00:01:24.071716,1.83E-05,0.00068853,-1.940394584,2.078753026,15.66809911,COMPLETE
188,124.38,42:29.6,43:49.7,0 days 00:01:20.160150,2.49E-05,0.000680795,-1.589245702,6.169593599,14.32553744,COMPLETE
189,126.74,43:49.7,45:10.4,0 days 00:01:20.614175,1.95E-05,0.000734578,-1.889862858,1.752850099,14.64152067,COMPLETE
190,156.48,45:10.4,46:28.6,0 days 00:01:18.237829,0.000860519,0.000843511,-1.995365363,5.12831782,15.66294109,COMPLETE
191,146.46,46:28.6,47:48.7,0 days 00:01:20.124390,0.001488033,0.000791857,-2.008118274,5.103163502,16.3981757,COMPLETE
192,124.14,47:48.7,49:09.7,0 days 00:01:20.939626,0.000417542,0.000870879,-1.685783165,4.576338529,16.00730926,COMPLETE
193,123.76,57:12.5,58:29.0,0 days 00:01:16.475782,0.000786096,0.0008361,-1.830312827,4.870539126,15.13907775,COMPLETE
194,157.4,58:29.0,59:48.8,0 days 00:01:19.760882,0.000292466,0.000643061,-1.757582783,5.246569696,13.43790155,COMPLETE
195,124.84,59:48.8,01:11.1,0 days 00:01:22.324879,0.000502245,0.000592908,-1.747238995,4.345813734,13.39812807,COMPLETE
196,145.34,01:11.1,02:30.5,0 days 00:01:19.377516,0.000311361,0.000647962,-1.839162169,5.240015138,14.0173191,COMPLETE
197,118.4,02:30.5,03:55.0,0 days 00:01:24.529167,0.000946072,0.000770896,-1.984805711,5.495489497,13.31708657,COMPLETE
198,134.26,03:55.0,05:15.5,0 days 00:01:20.459624,0.00076885,0.000642056,-1.764699476,5.067473105,11.92839944,COMPLETE
199,117.82,05:15.5,06:35.1,0 days 00:01:19.612341,0.000262729,0.000716557,-1.617667588,5.778513998,14.90572972,COMPLETE
