number,value,datetime_start,datetime_complete,duration,params_ENT_COEF,params_LEARNING_RATE,params_PENALTY_STAGNATION_FORCE,params_REWARD_SURVIVAL_SCALE,state
13,142.35999999999999,2026-02-06 21:05:01.668297,2026-02-06 21:06:42.804009,0 days 00:01:41.135712,1.6773220809020343e-05,0.0009358768503233748,-2.3038999983288675,0.2838678641319557,COMPLETE
14,137.67999999999998,2026-02-06 21:06:42.807097,2026-02-06 21:08:22.188205,0 days 00:01:39.381108,3.1767251605567994e-05,0.00044533339421324474,-1.9507440526759896,9.704258094776236,COMPLETE
15,127.88,2026-02-06 21:08:22.191385,2026-02-06 21:09:59.638194,0 days 00:01:37.446809,4.1790333784514274e-05,0.0004648036364325434,-2.923871183201551,2.0460927809854312,COMPLETE
16,125.8,2026-02-06 21:09:59.641230,2026-02-06 21:11:39.862281,0 days 00:01:40.221051,0.0011997405561649107,0.0006453488065465851,-0.5312532741697269,1.4785555365954313,COMPLETE
17,124.98000000000002,2026-02-06 21:11:39.865547,2026-02-06 21:13:18.183990,0 days 00:01:38.318443,7.654548059004383e-05,0.00026342537666308426,-3.9408832280626678,3.5801888442480774,COMPLETE
18,140.34,2026-02-06 21:13:18.187688,2026-02-06 21:14:55.574210,0 days 00:01:37.386522,2.234776041313982e-05,0.0006628693401696662,-1.7431722063852695,0.17183103626852314,COMPLETE
19,118.12,2026-02-06 21:14:55.577251,2026-02-06 21:16:34.139408,0 days 00:01:38.562157,0.00012141560002832519,0.00029133629088392996,-0.9455487353760584,2.0649575121231734,COMPLETE
20,154.1,2026-02-06 21:16:34.142565,2026-02-06 21:18:11.479528,0 days 00:01:37.336963,1.0694711247219869e-05,0.0005952383789631232,-2.6082181334874286,3.9265312444007634,COMPLETE
21,108.19999999999997,2026-02-06 21:18:11.482638,2026-02-06 21:19:42.374565,0 days 00:01:30.891927,0.0011464450561950068,1.152330405209115e-05,-0.10015722140959804,3.9665859532868577,COMPLETE
22,129.92,2026-02-06 21:19:42.377719,2026-02-06 21:21:07.109461,0 days 00:01:24.731742,1.081422951713695e-05,0.0006204511561458857,-2.6975388552671458,1.356582220956982,COMPLETE
23,121.5,2026-02-06 21:21:07.112552,2026-02-06 21:22:47.099364,0 days 00:01:39.986812,2.0949586764142217e-05,0.0008783276256521035,-2.020635944784344,4.111031465179666,COMPLETE
24,110.3,2026-02-06 21:22:47.102878,2026-02-06 21:24:13.897918,0 days 00:01:26.795040,4.0621993816070816e-05,0.0002928474908584563,-2.9678811361728834,2.5029570870186477,COMPLETE
25,122.73999999999998,2026-02-06 21:24:13.901311,2026-02-06 21:25:36.774111,0 days 00:01:22.872800,1.0427697668955765e-05,0.0005343107280184013,-2.431387178174945,1.1059600274071315,COMPLETE
26,120.41999999999999,2026-02-06 21:25:36.777044,2026-02-06 21:26:58.824524,0 days 00:01:22.047480,7.352674375060855e-05,0.00015005015689203584,-3.668185964893467,0.8576021630104196,COMPLETE
27,126.12,2026-02-06 21:26:58.827480,2026-02-06 21:28:20.884161,0 days 00:01:22.056681,1.7762664452418966e-05,0.0003755083490825396,-2.158196207979167,7.142049934056829,COMPLETE
28,143.96,2026-02-06 21:28:20.887282,2026-02-06 21:29:42.269167,0 days 00:01:21.381885,0.00013873972341723885,0.0007463863244745315,-2.723706621666552,4.71615668378722,COMPLETE
29,102.55999999999999,2026-02-06 21:29:42.272285,2026-02-06 21:31:08.050938,0 days 00:01:25.778653,3.0890553518101766e-05,0.0002157310234232295,-1.793544443262884,6.232942795627275,COMPLETE
30,135.57999999999998,2026-02-06 21:31:08.054463,2026-02-06 21:32:29.213116,0 days 00:01:21.158653,5.380366050966052e-05,2.685788172370907e-05,-4.2068625423741395,3.218660932163324,COMPLETE
31,110.02000000000001,2026-02-06 21:32:29.216307,2026-02-06 21:33:53.505281,0 days 00:01:24.288974,0.0029795289132580937,0.00040911792347261844,-3.2544900015251828,2.2975435727617928,COMPLETE
32,127.97999999999999,2026-02-06 21:33:53.508215,2026-02-06 21:35:15.906660,0 days 00:01:22.398445,0.0001541001236211569,0.0007432886547178635,-2.6334653384143167,4.50374936891029,COMPLETE
33,132.0,2026-02-06 21:35:15.909703,2026-02-06 21:36:40.792783,0 days 00:01:24.883080,0.0003095600799617567,0.000761929069410846,-2.7546995319275385,4.548069823930224,COMPLETE
34,130.6,2026-02-06 21:36:40.795919,2026-02-06 21:38:11.134021,0 days 00:01:30.338102,0.0006161659978325908,0.0005101872351406213,-3.5170530690442225,6.177709181555181,COMPLETE
35,118.78,2026-02-06 21:38:11.136980,2026-02-06 21:39:36.292320,0 days 00:01:25.155340,8.916727434650457e-05,5.685064450218424e-05,-1.5961406254475745,0.7500774217329609,COMPLETE
36,130.86,2026-02-06 21:39:36.295419,2026-02-06 21:41:06.017821,0 days 00:01:29.722402,0.0003922686682464169,0.0009796419588484508,-3.013093571123078,8.647522577918311,COMPLETE
37,125.66,2026-02-06 21:41:06.021033,2026-02-06 21:42:32.244765,0 days 00:01:26.223732,0.00017306266923478443,0.0005694346197100224,-4.403314018061499,2.8833483678617253,COMPLETE
38,131.68,2026-02-06 21:42:32.247999,2026-02-06 21:44:00.647657,0 days 00:01:28.399658,2.89215338446578e-05,0.00032865701054789464,-1.2194394604903969,1.8547184069650626,COMPLETE
39,113.88000000000002,2026-02-06 21:44:00.650686,2026-02-06 21:45:25.268914,0 days 00:01:24.618228,1.5669245976829578e-05,0.0001335792985702074,-2.518849331309152,6.035829730540464,COMPLETE
40,130.66000000000003,2026-02-06 21:45:25.271961,2026-02-06 21:46:53.239236,0 days 00:01:27.967275,0.000102882181499345,0.0007076634047951446,-2.101711043225646,3.540410855042964,COMPLETE
41,143.9,2026-02-06 21:46:53.242345,2026-02-06 21:48:21.115132,0 days 00:01:27.872787,4.928540791676313e-05,0.0001964325195573384,-3.1190327086133363,4.71260107008591,COMPLETE
